transaction_id,sender_id,receiver_id,amount,timestamp
TX_000000,ACC_0866,ACC_0300,4623.99,2026-01-21 23:11:02
TX_000001,ACC_0545,ACC_0844,2249.24,2026-01-17 13:35:27
TX_000002,ACC_0851,ACC_0735,4268.32,2026-01-13 14:03:51
TX_000003,ACC_0510,ACC_0274,2534.93,2026-01-06 05:45:01
TX_000004,ACC_0703,ACC_0022,1241.66,2026-01-09 05:37:20
TX_000005,ACC_0453,ACC_0887,1930.65,2026-01-08 21:33:14
TX_000006,ACC_0443,ACC_0387,1334.94,2026-01-29 02:50:30
TX_000007,ACC_0726,ACC_0399,4185.37,2026-01-28 09:04:03
TX_000008,ACC_0374,ACC_0532,4408.24,2026-01-21 06:27:55
TX_000009,ACC_0913,ACC_0089,4346.5,2026-01-18 02:28:57
TX_000010,ACC_0695,ACC_0981,1889.9,2026-01-16 04:21:43
TX_000011,ACC_0933,ACC_0554,223.13,2026-01-25 01:08:49
TX_000012,ACC_0368,ACC_0807,4694.56,2026-01-18 10:19:53
TX_000013,ACC_0312,ACC_0328,118.14,2026-01-04 02:16:50
TX_000014,ACC_0499,ACC_0329,3021.09,2026-01-19 22:34:31
TX_000015,ACC_0322,ACC_0747,2147.85,2026-01-10 20:51:08
TX_000016,ACC_0948,ACC_0863,2287.96,2026-01-18 00:25:53
TX_000017,ACC_0083,ACC_0356,3714.14,2026-01-14 18:48:53
TX_000018,ACC_0047,ACC_0648,2618.71,2026-01-05 23:26:00
TX_000019,ACC_0729,ACC_0038,1679.3,2026-01-05 01:00:30
TX_000020,ACC_0081,ACC_0710,4665.85,2026-01-23 18:48:08
TX_000021,ACC_0973,ACC_0670,1980.24,2026-01-19 10:25:20
TX_000022,ACC_0028,ACC_0894,4362.63,2026-01-01 08:50:26
TX_000023,ACC_0390,ACC_0673,506.66,2026-01-19 14:48:26
TX_000024,ACC_0645,ACC_0929,258.39,2026-01-19 18:22:49
TX_000025,ACC_0239,ACC_0262,4764.46,2026-01-22 00:39:56
TX_000026,ACC_0047,ACC_0051,1454.21,2026-01-11 18:27:17
TX_000027,ACC_0127,ACC_0186,414.87,2026-01-29 03:25:00
TX_000028,ACC_0985,ACC_0301,4189.55,2026-01-24 21:56:38
TX_000029,ACC_0829,ACC_0776,3721.58,2026-01-24 20:19:55
TX_000030,ACC_0597,ACC_0781,4583.44,2026-01-15 09:51:07
TX_000031,ACC_0025,ACC_0679,4470.24,2026-01-16 08:51:15
TX_000032,ACC_0632,ACC_0962,3832.34,2026-01-03 19:49:59
TX_000033,ACC_0662,ACC_0352,3340.16,2026-01-19 17:20:35
TX_000034,ACC_0022,ACC_0851,3001.94,2026-01-14 15:13:26
TX_000035,ACC_0441,ACC_0631,4905.76,2026-01-25 21:39:56
TX_000036,ACC_0700,ACC_0384,4496.78,2026-01-08 07:04:43
TX_000037,ACC_0893,ACC_0172,818.58,2026-01-20 21:25:34
TX_000038,ACC_0419,ACC_0305,645.4,2026-01-07 21:37:21
TX_000039,ACC_0433,ACC_0946,3169.06,2026-01-12 10:38:13
TX_000040,ACC_0172,ACC_0406,4633.94,2026-01-21 10:32:16
TX_000041,ACC_0548,ACC_0488,4077.84,2026-01-14 19:54:59
TX_000042,ACC_0707,ACC_0659,201.32,2026-01-23 04:57:15
TX_000043,ACC_0734,ACC_0677,1595.8,2026-01-19 07:27:07
TX_000044,ACC_0144,ACC_0483,3891.26,2026-01-28 00:03:57
TX_000045,ACC_0121,ACC_0048,3099.67,2026-01-17 19:50:21
TX_000046,ACC_0089,ACC_0961,825.07,2026-01-02 12:55:31
TX_000047,ACC_0037,ACC_0976,3346.64,2026-01-08 04:10:45
TX_000048,ACC_0012,ACC_0639,443.2,2026-01-08 04:40:54
TX_000049,ACC_0094,ACC_0926,250.67,2026-01-16 03:03:55
TX_000050,ACC_0439,ACC_0210,3520.62,2026-01-17 09:44:07
TX_000051,ACC_0907,ACC_0351,629.78,2026-01-30 06:22:58
TX_000052,ACC_0607,ACC_0949,1584.32,2026-01-11 04:55:10
TX_000053,ACC_0746,ACC_0663,4614.54,2026-01-12 06:18:50
TX_000054,ACC_0473,ACC_0327,593.27,2026-01-26 10:05:37
TX_000055,ACC_0105,ACC_0828,3471.03,2026-01-14 05:30:08
TX_000056,ACC_0626,ACC_0477,2350.71,2026-01-25 10:57:50
TX_000057,ACC_0811,ACC_0279,309.06,2026-01-25 04:54:49
TX_000058,ACC_0859,ACC_0359,1480.02,2026-01-23 01:33:46
TX_000059,ACC_0044,ACC_0805,4288.03,2026-01-23 22:27:22
TX_000060,ACC_0873,ACC_0928,1434.06,2026-01-28 12:08:02
TX_000061,ACC_0917,ACC_0613,4273.78,2026-01-28 15:38:54
TX_000062,ACC_0499,ACC_0216,1728.73,2026-01-25 17:11:18
TX_000063,ACC_0129,ACC_0712,4489.59,2026-01-25 00:53:06
TX_000064,ACC_0493,ACC_0872,4023.97,2026-01-17 11:08:13
TX_000065,ACC_0568,ACC_0305,3722.37,2026-01-09 17:54:37
TX_000066,ACC_0745,ACC_0097,4276.3,2026-01-22 17:52:35
TX_000067,ACC_0745,ACC_0115,2018.48,2026-01-29 15:40:49
TX_000068,ACC_0403,ACC_0606,1806.46,2026-01-06 05:32:38
TX_000069,ACC_0688,ACC_0589,4270.67,2026-01-26 07:30:06
TX_000070,ACC_0790,ACC_0726,3638.58,2026-01-16 15:22:29
TX_000071,ACC_0300,ACC_0206,2954.95,2026-01-24 12:54:21
TX_000072,ACC_0419,ACC_0697,2949.13,2026-01-26 00:38:37
TX_000073,ACC_0109,ACC_0653,3847.02,2026-01-28 20:26:26
TX_000074,ACC_0176,ACC_0558,1702.27,2026-01-05 04:59:45
TX_000075,ACC_0941,ACC_0542,4973.92,2026-01-11 16:24:58
TX_000076,ACC_0823,ACC_0692,2253.62,2026-01-21 12:01:32
TX_000077,ACC_0300,ACC_0745,2463.93,2026-01-24 10:25:41
TX_000078,ACC_0504,ACC_0998,2108.74,2026-01-13 03:24:38
TX_000079,ACC_0398,ACC_0117,472.69,2026-01-17 07:32:05
TX_000080,ACC_0713,ACC_0360,4657.83,2026-01-24 02:21:21
TX_000081,ACC_0961,ACC_0968,1273.39,2026-01-05 22:09:36
TX_000082,ACC_0556,ACC_0942,692.06,2026-01-01 10:31:18
TX_000083,ACC_0564,ACC_0361,396.48,2026-01-02 09:05:00
TX_000084,ACC_0770,ACC_0654,3751.04,2026-01-06 01:22:32
TX_000085,ACC_0352,ACC_0453,2734.99,2026-01-02 01:54:51
TX_000086,ACC_0196,ACC_0713,4727.25,2026-01-15 14:52:19
TX_000087,ACC_0831,ACC_0499,866.47,2026-01-28 01:00:57
TX_000088,ACC_0441,ACC_0281,4274.28,2026-01-17 19:35:27
TX_000089,ACC_0958,ACC_0854,4580.78,2026-01-14 05:16:24
TX_000090,ACC_0052,ACC_0100,2597.17,2026-01-30 20:10:52
TX_000091,ACC_0149,ACC_0670,1678.58,2026-01-04 21:46:39
TX_000092,ACC_0448,ACC_0019,277.99,2026-01-30 22:26:27
TX_000093,ACC_0477,ACC_0565,4568.25,2026-01-09 04:00:19
TX_000094,ACC_0006,ACC_0221,249.92,2026-01-24 23:56:22
TX_000095,ACC_0947,ACC_0852,212.66,2026-01-10 09:00:51
TX_000096,ACC_0347,ACC_0515,2356.85,2026-01-16 08:43:52
TX_000097,ACC_0131,ACC_0854,3945.09,2026-01-21 16:50:46
TX_000098,ACC_0173,ACC_0457,4318.54,2026-01-03 02:02:19
TX_000099,ACC_0793,ACC_0892,3217.9,2026-01-05 06:20:05
TX_000100,ACC_0834,ACC_0956,906.93,2026-01-27 08:12:10
TX_000101,ACC_0817,ACC_0089,678.79,2026-01-26 18:58:53
TX_000102,ACC_0272,ACC_0198,431.25,2026-01-07 13:41:32
TX_000103,ACC_0735,ACC_0726,1739.43,2026-01-10 22:45:42
TX_000104,ACC_0398,ACC_0220,2456.82,2026-01-28 18:29:20
TX_000105,ACC_0463,ACC_0861,4179.82,2026-01-19 17:14:02
TX_000106,ACC_0933,ACC_0078,2270.28,2026-01-08 15:55:20
TX_000107,ACC_0851,ACC_0033,1762.86,2026-01-16 20:57:57
TX_000108,ACC_0547,ACC_0694,2993.4,2026-01-22 16:35:20
TX_000109,ACC_0669,ACC_0716,1624.54,2026-01-14 05:59:57
TX_000110,ACC_0976,ACC_0429,2643.12,2026-01-07 22:43:46
TX_000111,ACC_0875,ACC_0305,779.56,2026-01-07 14:21:07
TX_000112,ACC_0659,ACC_0094,2374.83,2026-01-15 14:15:37
TX_000113,ACC_0564,ACC_0898,3604.27,2026-01-19 11:13:57
TX_000114,ACC_0935,ACC_0251,1747.47,2026-01-09 02:42:47
TX_000115,ACC_0507,ACC_0623,4453.19,2026-01-11 02:27:22
TX_000116,ACC_0421,ACC_0719,2696.63,2026-01-19 14:17:15
TX_000117,ACC_0608,ACC_0528,2339.79,2026-01-26 16:11:10
TX_000118,ACC_0509,ACC_0051,2155.72,2026-01-25 10:36:38
TX_000119,ACC_0267,ACC_0619,61.92,2026-01-17 12:17:54
TX_000120,ACC_0668,ACC_0469,481.14,2026-01-05 07:25:10
TX_000121,ACC_0747,ACC_0026,3297.4,2026-01-04 01:11:37
TX_000122,ACC_0840,ACC_0454,913.59,2026-01-03 02:36:43
TX_000123,ACC_0561,ACC_0214,3090.81,2026-01-13 00:00:37
TX_000124,ACC_0175,ACC_0267,4588.94,2026-01-18 02:52:41
TX_000125,ACC_0029,ACC_0921,1062.34,2026-01-19 21:50:06
TX_000126,ACC_0540,ACC_0924,1118.54,2026-01-25 06:12:36
TX_000127,ACC_0439,ACC_0899,1022.95,2026-01-27 06:08:36
TX_000128,ACC_0561,ACC_0506,4163.66,2026-01-08 05:10:48
